anime_id,Name
1,Cowboy Bebop
5,Cowboy Bebop: Tengoku no Tobira
6,Trigun
7,Witch Hunter Robin
8,Bouken Ou Beet
15,Eyeshield 21
16,Hachimitsu to Clover
17,Hungry Heart: Wild Striker
18,Initial D Fourth Stage
19,Monster
20,Naruto
21,One Piece
22,Tennis no Ouji-sama
23,Ring ni Kakero 1
24,School Rumble
25,Sunabouzu
26,Texhnolyze
27,Trinity Blood
28,Yakitate!! Japan
29,Zipang
30,Neon Genesis Evangelion
31,Neon Genesis Evangelion: Death & Rebirth
32,Neon Genesis Evangelion: The End of Evangelion
33,Kenpuu Denki Berserk
43,Koukaku Kidoutai
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
45,Rurouni Kenshin: Meiji Kenkaku Romantan
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka
47,Akira
48,.hack//Sign
49,Aa! Megami-sama!
50,Aa! Megami-sama! (TV)
51,Tenshi Kinryouku
52,Kidou Tenshi Angelic Layer
53,Ai Yori Aoshi
54,Appleseed (Movie)
55,Arc the Lad
56,Avenger
57,Beck
58,Blue Gender
59,Chobits
60,Chrno Crusade
61,D.N.Angel
62,D.C.: Da Capo
63,DearS
64,Rozen Maiden
65,Rozen Maiden: Träumend
66,Azumanga Daioh
67,Basilisk: Kouga Ninpou Chou
68,Black Cat (TV)
69,Cluster Edge
71,Full Metal Panic!
72,Full Metal Panic? Fumoffu
73,Full Metal Panic! The Second Raid
74,Gakuen Alice
75,Soukyuu no Fafner: Dead Aggressor
76,Mahou Shoujo Lyrical Nanoha
77,Mahou Shoujo Lyrical Nanoha A's
79,Shuffle!
80,Mobile Suit Gundam
81,Mobile Suit Gundam: The 08th MS Team
82,Mobile Suit Gundam 0080: War in the Pocket
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report
84,Mobile Suit Gundam 0083: Stardust Memory
85,Mobile Suit Zeta Gundam
86,Mobile Suit Gundam ZZ
87,Mobile Suit Gundam: Char's Counterattack
88,Mobile Suit Gundam F91
89,Mobile Suit Victory Gundam
90,Mobile Suit Gundam Wing
91,Mobile Suit Gundam Wing: Endless Waltz
92,After War Gundam X
93,Mobile Suit Gundam SEED
94,Mobile Suit Gundam SEED Destiny
95,Turn A Gundam
96,Mobile Fighter G Gundam
97,Last Exile
98,Mai-HiME
99,Mai-Otome
100,Shin Shirayuki-hime Densetsu Prétear
101,Air
102,Aishiteruze Baby★★
103,Akazukin Chacha
104,Ayashi no Ceres
105,Boys Be...
106,Hana yori Dango
107,Ou Dorobou Jing
108,Ou Dorobou Jing in Seventh Heaven
109,Bakuretsu Tenshi
110,Chuuka Ichiban!
111,Corrector Yui
112,Chou Henshin Cosprayers
113,Uchuu no Stellvia
114,Sakigake!! Cromartie Koukou
115,El Hazard: The Alternative World
116,El Hazard: The Wanderers
117,El Hazard: The Magnificent World
118,El Hazard 2: The Magnificent World
119,Final Approach
120,Fruits Basket
121,Fullmetal Alchemist
122,Full Moon wo Sagashite
123,Fushigi Yuugi
124,Fushigi Yuugi: Eikouden
125,Futakoi
126,Futakoi Alternative
127,Gate Keepers
128,Gate Keepers 21
129,Gensoumaden Saiyuuki
130,Saiyuuki Reload
131,Saiyuuki Reload Gunlock
132,GetBackers
133,Green Green
134,Gunslinger Girl
135,Hikaru no Go
136,Hunter x Hunter
137,Hunter x Hunter: Original Video Animation
138,Hunter x Hunter: Greed Island
139,Hunter x Hunter: Greed Island Final
141,Jinki:Extend
142,Kamikaze Kaitou Jeanne
143,Kannazuki no Miko
144,Kanon
145,Kareshi Kanojo no Jijou
146,Kono Minikuku mo Utsukushii Sekai
147,Kimi ga Nozomu Eien
148,Kita e.: Diamond Dust Drops
149,Loveless
150,Blood+
151,Re: Cutey Honey
152,Solty Rei
153,Juuni Kokuki
154,Shaman King
155,X/1999
156,X
157,Mahou Sensei Negima!
158,Maria-sama ga Miteru
159,Boukyaku no Senritsu
160,"Ima, Soko ni Iru Boku"
161,Peace Maker Kurogane
162,Pita Ten
163,Power Stone
164,Mononoke Hime
165,RahXephon
166,Samurai 7
167,Scrapped Princess
168,s.CRY.ed
169,Shingetsutan Tsukihime
170,Slam Dunk
171,Strange Dawn
173,Tactics
174,Tenjou Tenge
175,Tokyo Underground
176,Triangle Heart: Sweet Songs Forever
177,Tsubasa Chronicle
178,Ultra Maniac
179,Ultra Maniac OVA
180,Vandread
181,Vandread: The Second Stage
182,Tenkuu no Escaflowne
183,Whistle!
184,Xenosaga The Animation
185,Initial D First Stage
186,Initial D Second Stage
187,Initial D Third Stage
189,Love Hina
190,Love Hina Again
191,Love Hina Christmas Special: Silent Eve
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!
193,Maburaho
194,Macross Zero
195,Onegai☆Teacher
196,Onegai☆Twins
197,Rizelmine
198,Speed Grapher
199,Sen to Chihiro no Kamikakushi
200,Tenshi na Konamaiki
201,Video Girl Ai
202,Wolf's Rain
204,Yumeria
205,Samurai Champloo
206,Lodoss-tou Senki: Eiyuu Kishi Den
207,Lodoss-tou Senki
208,R.O.D: Read or Die
209,R.O.D: The TV
210,Ranma ½
212,Project A-Ko
215,Pia Carrot e Youkoso!! 2 DX
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari
218,Kidou Senkan Nadesico
219,Kidou Senkan Nadesico: The Prince of Darkness
222,Mezzo DSA
223,Dragon Ball
225,Dragon Ball GT
226,Elfen Lied
227,FLCL
228,Jigoku Shoujo
229,Ninin ga Shinobuden
230,Air Master
231,Asagiri no Miko
232,Cardcaptor Sakura
233,Daa! Daa! Daa!
234,Dan Doh!!
235,Detective Conan
236,E's Otherwise
237,Koukyoushihen Eureka Seven
238,Rekka no Honoo
239,Gankutsuou
240,Genshiken
241,Girls Bravo: First Season
242,Gokusen
243,Gravitation
244,Agatha Christie no Meitantei Poirot to Marple
245,Great Teacher Onizuka
246,Groove Adventure Rave
247,Harukanaru Toki no Naka de: Hachiyou Shou
248,Ichigo 100%
249,InuYasha
250,Konjiki no Gash Bell!!
251,Kyou kara Maou!
252,Madlax
253,Jungle wa Itsumo Hare nochi Guu
254,Jungle wa Itsumo Hare nochi Guu Deluxe
255,Jungle wa Itsumo Hare nochi Guu Final
256,Hoshi no Koe
257,Ikkitousen
258,Hitsuji no Uta
259,Happy☆Lesson
260,Happy☆Lesson (TV)
